Unit Throughputs,Throughput %
PCIe Throughput,13.5%
VRAM Throughput,2.6%
L2 Throughput,1.7%
Screen Pipe Throughput,1.5%
SM Throughput,1.5%
Front End Throughput,0.0%
World Pipe Throughput,0.0%
RTCORE Throughput (Pro),0.0%
