Unit Throughputs,Throughput %
Front End Throughput,0.0%
L2 Throughput,1.7%
PCIe Throughput,13.5%
RTCORE Throughput (Pro),0.0%
Screen Pipe Throughput,1.5%
SM Throughput,1.5%
VRAM Throughput,2.6%
World Pipe Throughput,0.0%
