FrameID,Frame Time (ms),Total Time (ms)
Frame0,4.66576,4.66576
Frame1,4.10144,8.7672
Frame2,4.01584,12.783
Frame3,3.8847,16.6677
Frame4,3.93411,20.6019
Frame5,3.98778,24.5896
Frame6,3.82896,28.4186
