Screen Pipe Data Flow,Pixels-per-Cycle,Throughput %,Pixels
CROP Input Pixels,0.0,0.2%,"6,462,816.0"
PROP Input Pixels,0.6,0.9%,"118,032,896.0"
ZCULL Input Pixels,1.3,0.5%,"258,059,264.0"
ZCULL Output Pixels,1.3,0.5%,"258,059,264.0"
ZROP Input Pixels,0.6,0.9%,"116,944,768.0"
ZROP Output Pixels,0.6,0.4%,"116,215,168.0"
