FrameID,Frame Time (ms),Total Time (ms)
Frame0,4.13923,4.13923
Frame1,4.06403,8.20326
Frame2,4.38077,12.584
Frame3,4.0473,16.6313
Frame4,4.13379,20.7651
Frame5,4.58048,25.3456
Frame6,4.1329,29.4785
