Unit Throughputs,Throughput %
PCIe Throughput,12.4%
Screen Pipe Throughput,1.9%
VRAM Throughput,1.5%
L2 Throughput,1.2%
SM Throughput,1.0%
Front End Throughput,0.2%
World Pipe Throughput,0.0%
RTCORE Throughput (Pro),0.0%
