Clock Frequencies,GHz,Cycles
GPC Frequency,1.2,"34,890,867.2"
L2 Frequency,1.1,"33,145,582.8"
SYS Frequency,1.0,"29,169,011.0"
VRAM Frequency,7.0,"206,168,235.8"
