Unit Throughputs,Throughput %
Front End Throughput,0.2%
L2 Throughput,1.2%
PCIe Throughput,12.4%
RTCORE Throughput (Pro),0.0%
Screen Pipe Throughput,1.9%
SM Throughput,1.0%
VRAM Throughput,1.5%
World Pipe Throughput,0.0%
