Clock Frequencies,GHz,Cycles
GPC Frequency,0.9,"5,648,919.3"
L2 Frequency,0.9,"5,460,622.2"
SYS Frequency,0.8,"4,848,655.0"
VRAM Frequency,7.0,"43,898,334.7"
