Top-Level Throughput,Throughput %
PCIe Throughput,18.3%
Screen Pipe Throughput,3.1%
L2 Throughput,1.4%
SM Throughput,1.3%
VRAM Throughput,1.2%
Front End Throughput,0.2%
World Pipe Throughput,0.0%
RTCORE Throughput (Pro),0.0%
