Top-Level Throughput,Throughput %
Front End Throughput,0.2%
L2 Throughput,1.4%
PCIe Throughput,18.3%
RTCORE Throughput (Pro),0.0%
Screen Pipe Throughput,3.1%
SM Throughput,1.3%
VRAM Throughput,1.2%
World Pipe Throughput,0.0%
