FrameID,Frame Time (ms),Total Time (ms)
Frame0,28.1019,28.1019
Frame1,28.0378,56.1397
Frame2,42.1364,98.2761
Frame3,31.611,129.887
Frame4,29.1212,159.008
Frame5,28.4352,187.444
Frame6,28.5567,216.000
