Clock Frequencies,GHz,Cycles
GPC Frequency,0.9,"194,399,886.0"
L2 Frequency,0.8,"163,619,903.5"
SYS Frequency,0.7,"144,179,911.0"
VRAM Frequency,7.1,"1,543,071,004.3"
