FrameID,Frame Time (ms),Total Time (ms)
Frame0,28.5693,28.5693
Frame1,26.4911,55.0604
Frame2,26.6766,81.7371
Frame3,27.5134,109.25
Frame4,29.1268,138.377
Frame5,29.9602,168.337
Frame6,33.8909,202.228
