Clock Frequencies,GHz,Cycles
GPC Frequency,1.2,"239,514,964.2"
L2 Frequency,1.1,"227,464,166.6"
SYS Frequency,1.0,"200,169,110.0"
VRAM Frequency,7.0,"1,414,371,001.8"
